                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.3045,                0.76251,                 1.5264,                0.92271,                0.95524,                 0.9443,                0.56115,                  1.429,                0.83183,                 1.8063,              0.0015644,              0.0015644,              0.0015644
                    113,                 1.3165,                0.76895,                 1.5238,                0.90644,                   0.92,                0.93581,                0.58064,                 1.4342,                0.84669,                 1.7682,              0.0015604,              0.0015604,              0.0015604
                    114,                 1.2694,                0.75168,                 1.5149,                0.98054,                   0.92,                0.94767,                0.56373,                 1.4724,                0.86067,                  1.796,              0.0015565,              0.0015565,              0.0015565
                    115,                 1.2777,                 0.7669,                 1.5533,                0.97426,                   0.84,                0.93684,                0.54398,                 1.5119,                0.91086,                 1.8243,              0.0015525,              0.0015525,              0.0015525
                    116,                 1.2521,                0.73752,                 1.4728,                      1,                0.83687,                 0.9432,                0.54966,                 1.4862,                0.89044,                 1.8647,              0.0015486,              0.0015486,              0.0015486
                    117,                 1.2671,                 0.7361,                 1.5429,                0.86488,                   0.88,                0.91796,                0.54873,                  1.414,                0.93365,                 1.7801,              0.0015446,              0.0015446,              0.0015446
                    118,                 1.2544,                0.72284,                 1.5023,                0.99261,                   0.88,                0.95195,                0.58291,                 1.4624,                0.89385,                 1.7625,              0.0015406,              0.0015406,              0.0015406
                    119,                 1.2515,                0.75092,                 1.5443,                0.91564,                   0.88,                0.94806,                0.54446,                 1.4524,                0.83538,                 1.8247,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.2978,                0.78342,                 1.5411,                0.97975,                   0.88,                0.93837,                0.54066,                 1.4339,                0.93923,                 1.7575,              0.0015327,              0.0015327,              0.0015327
                    121,                  1.231,                0.76135,                 1.4954,                      1,                 0.8707,                0.93939,                0.59981,                 1.4417,                0.89112,                 1.7257,              0.0015288,              0.0015288,              0.0015288
                    122,                  1.228,                0.69787,                 1.4694,                0.98377,                   0.92,                0.96783,                0.56247,                  1.479,                0.83107,                 1.7756,              0.0015248,              0.0015248,              0.0015248
                    123,                 1.2284,                0.74149,                 1.4675,                0.95735,                0.89833,                0.95002,                0.56797,                 1.3869,                 0.8888,                 1.7666,              0.0015208,              0.0015208,              0.0015208
                    124,                 1.2125,                0.70628,                 1.4845,                0.94587,                   0.92,                0.96604,                0.54483,                 1.5045,                0.75838,                 1.8405,              0.0015169,              0.0015169,              0.0015169
